Rank,Overall,Conference,Regional,Player,Position,Age,Team,GP,MPG,FGM,FG%,FT%,3PM,3P%,PTS,TREB,AST,STL,BLK,TO,DD,Total
181,413,413,413,Dorian Finney-Smith,SF/PF,32.3,LAL,63,28.9,3.1,0.449,0.676,2.1,0.412,8.7,3.9,1.4,0.9,0.4,0.9,0.0,-2.09
182,183,184,183,Mitchell Robinson,C,27.4,NY,17,17.1,2.2,0.663,0.679,0.0,0.000,5.1,5.9,0.8,0.9,1.1,0.6,0.1,-2.09
183,46,49,41,Alexandre Sarr,PF/C,20.3,WAS,67,27.1,4.9,0.394,0.679,1.6,0.308,13.0,6.5,2.4,0.7,1.5,1.7,0.1,-2.10
184,192,194,195,Jose Alvarado,PG,27.3,NO,56,24.4,3.6,0.391,0.811,2.0,0.359,10.3,2.4,4.6,1.3,0.3,1.5,0.0,-2.14
185,216,217,217,Day'Ron Sharpe,C,23.8,BKN,50,18.2,3.3,0.521,0.757,0.2,0.244,7.9,6.6,1.8,0.8,0.8,1.3,0.1,-2.17
186,264,264,265,Isaiah Joe,SG,26.1,OKC,74,21.7,3.5,0.440,0.816,2.6,0.411,10.2,2.6,1.6,0.6,0.1,0.5,0.0,-2.28
187,267,267,268,Jusuf Nurkic,C,31.0,CHA,51,20.8,3.3,0.477,0.665,0.6,0.306,8.9,7.8,2.3,0.8,0.7,1.9,0.2,-2.29
188,261,261,262,Max Strus,SG/SF,29.4,CLE,50,25.5,3.3,0.442,0.824,2.3,0.386,9.4,4.3,3.2,0.5,0.2,1.1,0.0,-2.30
189,208,209,209,Karlo Matkovic,PF,24.4,NO,42,18.8,3.2,0.573,0.771,0.5,0.318,7.7,5.0,1.1,0.5,1.0,1.0,0.1,-2.31
190,199,200,202,Alex Caruso,PG/SG,31.5,OKC,54,19.3,2.6,0.446,0.830,1.1,0.352,7.1,2.9,2.5,1.6,0.5,0.7,0.0,-2.33
191,64,99,70,Bilal Coulibaly,SG/SF,21.1,WAS,59,33.0,4.5,0.422,0.745,1.1,0.282,12.3,5.0,3.4,1.3,0.7,2.1,0.1,-2.33
192,358,358,358,Moritz Wagner,C,28.3,ORL,30,18.8,4.7,0.563,0.717,0.9,0.360,12.9,4.9,1.4,0.8,0.4,1.6,0.0,-2.35
193,174,175,175,D'Angelo Russell,PG/SG,29.5,BKN,58,25.5,4.3,0.390,0.836,2.0,0.314,12.6,2.8,5.1,1.0,0.4,1.9,0.1,-2.38
194,326,325,326,Jaylin Williams,C,23.1,OKC,47,16.7,2.1,0.438,0.766,1.3,0.399,5.9,5.6,2.6,0.5,0.6,0.7,0.1,-2.44
195,176,177,177,Obi Toppin,PF,27.4,IND,79,19.6,4.0,0.529,0.785,1.4,0.365,10.5,4.0,1.6,0.6,0.4,0.9,0.0,-2.47
196,309,308,308,Malcolm Brogdon,PG/SG,32.7,WAS,24,23.5,4.3,0.433,0.883,0.7,0.288,12.7,3.8,4.1,0.5,0.2,1.6,0.1,-2.49
197,285,285,285,Vít Krejcí,PG,25.2,ATL,57,20.2,2.5,0.496,0.709,1.6,0.438,7.2,2.7,2.6,0.6,0.5,0.9,0.0,-2.56
198,325,324,325,Richaun Holmes,PF/C,31.8,WAS,31,17.2,2.9,0.647,0.830,0.0,0.000,7.4,5.7,1.4,0.3,0.7,0.7,0.1,-2.56
199,173,174,174,Gradey Dick,SG/SF,21.7,TOR,54,29.4,4.9,0.410,0.857,2.1,0.349,14.4,3.6,1.8,0.9,0.2,1.5,0.0,-2.56
201,306,305,305,Duncan Robinson,SF,31.3,MIA,74,24.1,3.9,0.438,0.889,2.6,0.394,11.0,2.3,2.4,0.5,0.1,1.2,0.0,-2.59
202,310,350,350,Sam Hauser,SF,27.7,BOS,71,21.7,3.0,0.451,1.000,2.3,0.416,8.5,3.2,0.9,0.6,0.2,0.3,0.0,-2.61
203,295,294,294,Kelly Olynyk,PF/C,34.3,NO,44,20.2,3.1,0.501,0.771,0.8,0.417,8.7,4.7,2.9,0.8,0.4,1.7,0.0,-2.68
204,159,161,162,Kyle Filipowski,PF,21.8,UTA,72,21.1,3.6,0.502,0.648,1.1,0.350,9.6,6.1,1.9,0.7,0.3,1.4,0.2,-2.70
205,231,232,232,T.J. McConnell,PG,33.4,IND,79,17.9,4.1,0.519,0.742,0.2,0.306,9.1,2.4,4.4,1.1,0.3,1.4,0.0,-2.74
206,75,127,65,Scoot Henderson,PG,21.5,POR,66,26.7,4.4,0.419,0.766,1.6,0.353,12.7,3.0,5.1,1.0,0.2,2.7,0.0,-2.77
207,204,205,205,Isaiah Stewart,PF/C,24.2,DET,72,19.9,2.4,0.557,0.760,0.2,0.324,6.0,5.5,1.7,0.4,1.4,0.9,0.0,-2.78
208,514,514,514,Chris Boucher,PF/C,32.6,TOR,50,17.2,3.6,0.491,0.782,1.4,0.363,10.0,4.5,0.7,0.5,0.5,0.6,0.1,-2.79
209,283,283,283,Julian Champagnie,SF,24.1,SA,82,23.6,3.4,0.416,0.904,2.2,0.371,9.9,3.9,1.4,0.7,0.4,0.9,0.0,-2.83
210,236,237,237,Buddy Hield,SG/SF,32.7,GS,82,22.7,4.0,0.417,0.833,2.5,0.370,11.1,3.2,1.6,0.8,0.3,1.1,0.0,-2.90
211,539,539,539,Chuma Okeke,PF,27.0,PHI,9,21.9,2.2,0.500,0.667,1.2,0.392,5.9,5.2,1.7,0.6,0.4,0.3,0.1,-2.98
212,480,480,480,Lonnie Walker IV,SG,26.7,PHI,20,23.8,4.5,0.420,0.800,2.3,0.354,12.4,3.2,2.5,0.5,0.3,1.3,0.1,-2.98
213,343,342,343,Spencer Dinwiddie,PG/SG,32.4,DAL,79,27.0,3.6,0.416,0.802,1.4,0.334,11.0,2.6,4.4,0.9,0.2,1.3,0.1,-3.00
214,88,91,68,Bub Carrington,PG/SG,20.1,WAS,82,30.0,3.7,0.401,0.808,1.7,0.339,9.8,4.2,4.4,0.7,0.3,1.7,0.1,-3.03
215,223,224,224,Kris Dunn,PG,31.4,LAC,74,24.1,2.6,0.438,0.667,1.0,0.333,6.4,3.4,2.8,1.7,0.4,1.0,0.0,-3.04
